id,logintimestamp,dayofweek,testdataid
5361ccae5cb9024f97ae9c2e2f4d72e9,2023-11-01 16:05:15.596595,3,3
9df79717d7385e95276be5901e07a9ec,2023-11-01 16:05:15.596597,3,1
74b216cf2e22cbf525b3523c291b61ac,2023-11-01 16:05:15.596598,3,4
06eff56b6609fb62887023b7f5157b47,2023-11-01 16:05:15.596599,3,3
31e1cf065d8caccfd77519f69a223a7d,2023-11-01 16:05:15.596600,3,1
f1d84e8d536b04c1de3fb906a9296643,2023-11-01 16:05:15.596602,3,3
c61db2cd02357e34b522e26e3aa2dd56,2023-11-01 16:05:15.596603,3,2
2008418125d1a69e225dccad2bb31666,2023-11-01 16:05:15.596604,3,2
08a0d6674050005bfef804a90e282570,2023-11-01 16:05:15.596606,3,5
ccd6ad5d77e380574a466b9da220d5a4,2023-11-01 16:05:15.596607,3,2
9f86cabff8269f7b73bec219a87f8558,2023-11-01 16:05:15.596608,3,5
62cabdf0a79b6fe122a78f96889d7f9e,2023-11-01 16:05:15.596609,3,4
04c0e48e1ab08c0bea889fbee955352e,2023-11-01 16:05:15.596610,3,4
f162ea468182916169f4736a69f57f6d,2023-11-01 16:05:15.596611,3,3
03d715b1c68a5ebff8dbd5f8d728d882,2023-11-01 16:05:15.596613,3,3
0a15a8a1f35d2db5409b3d49503e9416,2023-11-01 16:05:15.596614,3,5
07e408799fb77a5c04955438d3661c21,2023-11-01 16:05:15.596615,3,3
46df4bf5e5931d5734213bec4bb078c5,2023-11-01 16:05:15.596616,3,3
d2704b089154f317ecdcd52eb3acec92,2023-11-01 16:05:15.596617,3,1
8e07061503c2eb4fec853c804235756b,2023-11-01 16:05:15.596619,3,5
d46bf3d43ddc286d651307294608f6a9,2023-11-01 16:05:15.596620,3,5
f2f4a55ddf9c73b6cc554d2f6909dfa9,2023-11-01 16:05:15.596621,3,5
373ef436a9fe41ab43466202c1345819,2023-11-01 16:05:15.596622,3,3
3bbe2d65c254d95b876431b3f615e8cb,2023-11-01 16:05:15.596623,3,2
94d92949259b08ba2bbc243504dbb789,2023-11-01 16:05:15.596624,3,5
60264b20485dc5f06686f4106a6fb856,2023-11-01 16:05:15.596626,3,5
f113afc08f0357820b8b68854b348d09,2023-11-01 16:05:15.596627,3,4
ef05e59562b131c309e21e7dceeb08bc,2023-11-01 16:05:15.596628,3,5
3b97a568bc58d2dde94ab7393885229d,2023-11-01 16:05:15.596629,3,3
012531174b058f7a7ea5eac317746d41,2023-11-01 16:05:15.596630,3,1
f23864be712da8acbea5f5df569b845e,2023-11-01 16:05:15.596631,3,4
fb1f0e661152cb01da2487bd5c060724,2023-11-01 16:05:15.596633,3,1
493987fe09d7a6ba7c43c05db08d0ae0,2023-11-01 16:05:15.596634,3,2
70d8afc5e8c8f0dcf7561a099ab5149d,2023-11-01 16:05:15.596635,3,1
b1ac2fccb0695b5a3fe871b36a5e7a8d,2023-11-01 16:05:15.596636,3,1
7d8571247b170d62713dd4a3487c56e8,2023-11-01 16:05:15.596637,3,3
